GMZ,Goldman Sachs Group, Inc. (The),18.25,n/a,2013,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/gmz,
GS,Goldman Sachs Group, Inc. (The),189,$82.32B,1999,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/gs,
GS^A,Goldman Sachs Group, Inc. (The),19.38,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gs^a,
GS^B,Goldman Sachs Group, Inc. (The),25.42,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gs^b,
GS^C,Goldman Sachs Group, Inc. (The),20.58,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gs^c,
GS^D,Goldman Sachs Group, Inc. (The),20.09,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gs^d,
GS^I,Goldman Sachs Group, Inc. (The),25.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gs^i,
GS^J,Goldman Sachs Group, Inc. (The),24.73,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gs^j,
GS^K,Goldman Sachs Group, Inc. (The),26.21,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gs^k,
GSF,Goldman Sachs Group, Inc. (The),26.04,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/gsf,
GSJ,Goldman Sachs Group, Inc. (The),27.04,n/a,2011,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/gsj,
TFG,Goldman Sachs Group, Inc. (The),26.99,n/a,2011,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/tfg,
GBDC,Golub Capital BDC, Inc.,17.51,$825.97M,2010,n/a,n/a,http://www.nasdaq.com/symbol/gbdc,
GTIM,Good Times Restaurants Inc.,8.23,$77.72M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/gtim,
GDP,Goodrich Petroleum Corporation,3.58,$159.07M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gdp,
GDP^C,Goodrich Petroleum Corporation,9.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gdp^c,
GDP^D,Goodrich Petroleum Corporation,9.11,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gdp^d,
GOOG,Google Inc.,549.01,$373.67B,2004,Technology,Computer Software: Programming, Data Processing,http://www.nasdaq.com/symbol/goog,
GOOGL,Google Inc.,551.16,$375.13B,n/a,Technology,Computer Software: Programming, Data Processing,http://www.nasdaq.com/symbol/googl,
GPRO,GoPro, Inc.,45.27,$5.69B,2014,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/gpro,
GMAN,Gordmans Stores, Inc.,4,$78.31M,2010,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/gman,
GRC,Gorman-Rupp Company (The),28.38,$745.27M,n/a,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/grc,
GOV,Government Properties Income Trust,23.02,$1.62B,2009,Finance,Real Estate,http://www.nasdaq.com/symbol/gov,
IRE,Governor and Company of the Bank of Ireland (The),14.54,$11.76B,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/ire,
GPX,GP Strategies Corporation,33.4,$570.93M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/gpx,
GGG,Graco Inc.,75.19,$4.47B,n/a,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/ggg,
GTI,GrafTech International Ltd,4.16,$567.51M,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/gti,
GHM,Graham Corporation,22.84,$231.31M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ghm,
GHC,Graham Holdings Company,976.65,$5.66B,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/ghc,
GPT,Gramercy Property Trust Inc.,6.83,$1.28B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/gpt,
GPT^B,Gramercy Property Trust Inc.,26.22,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gpt^b,
GTE,Gran Tierra Energy Inc.,2.83,$781.28M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gte,
GRAM,Grana y Montero S.A.A.,9.58,$1.26B,2013,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/gram,
LOPE,Grand Canyon Education, Inc.,44.75,$2.09B,2008,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/lope,
GVA,Granite Construction Incorporated,37.02,$1.45B,n/a,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/gva,
GRP/U,Granite Real Estate Inc.,35.4401,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/grp/u,
GPK,Graphic Packaging Holding Company,15.41,$5.04B,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/gpk,
